gid,n_sectors,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17
1089,18,75.000,46.875,61.702,64.516,62.500,56.000,50.000,46.875,51.471,59.563,52.041,54.412,0.000,100.000,62.069,70.253,69.714,59.391
1090,18,46.591,55.952,48.770,49.488,57.818,51.331,47.619,48.837,52.030,55.082,53.419,52.083,54.930,52.083,55.897,57.377,57.377,56.667
1091,18,12.195,16.981,42.353,45.116,46.862,40.239,18.182,38.806,42.268,40.404,41.096,43.056,33.929,44.444,41.606,46.575,48.673,46.296
1092,18,1.333,2.283,25.490,37.547,41.846,36.805,0.000,0.581,25.407,34.904,41.212,36.220,0.000,9.524,32.620,37.485,41.073,38.657
1093,18,4.348,7.143,28.718,35.608,41.362,39.494,2.273,2.069,17.010,28.726,34.240,31.635,0.000,0.000,0.000,0.000,0.000,0.000
1094,18,27.273,20.000,36.103,37.066,36.822,36.048,5.000,8.621,37.971,48.796,51.898,49.338,11.111,16.667,40.893,54.100,55.609,51.627
1121,18,2.632,0.000,0.000,20.000,20.000,14.286,5.556,33.333,38.889,40.000,29.412,30.000,0.000,0.000,0.000,0.000,0.000,0.000
1122,18,26.000,25.352,27.778,28.125,42.268,50.588,19.672,36.250,41.975,56.000,46.875,46.667,18.367,37.500,43.182,54.118,61.972,54.545
1123,18,5.263,26.316,64.103,50.000,42.500,46.154,31.707,48.276,36.170,52.273,42.500,41.935,0.000,0.000,0.000,0.000,0.000,0.000
1124,18,27.435,41.977,40.698,6.000,0.000,0.000,36.628,43.915,39.171,13.725,8.000,0.000,39.741,40.788,32.099,12.903,0.000,0.000
1125,18,12.611,11.452,10.448,19.231,0.000,12.000,8.943,14.386,16.190,9.375,3.448,4.651,7.547,11.765,20.652,11.905,0.000,0.000
1126,18,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,21.951,0.000,0.000,0.000,0.000,0.000,0.000
1153,18,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1154,18,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1155,18,4.444,8.791,4.688,3.226,0.000,9.524,0.000,0.000,0.000,0.000,0.000,0.000,10.294,10.909,4.000,6.452,3.030,3.571
1156,18,14.625,19.175,27.009,35.533,42.093,45.911,15.432,17.085,26.184,33.333,43.014,44.050,12.360,14.583,24.691,38.174,32.700,45.833
1157,18,17.904,21.186,29.602,35.694,46.053,46.410,9.836,17.167,16.852,15.972,21.037,22.099,28.326,24.762,25.512,26.269,32.647,37.764
1158,18,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000
